palabras_clave
temperaturas extremas, protección, ambiente
asistencia, registro, manipulación
certificado, trabajo, constancia
documentos, retención, extranjero
sillas, ergonomía, condiciones
computadora, tecnología, obsolescencia
sindicato, prohibición, derechos
uniforme, cobro ilegal, reembolso
descanso, obligación, compensación
emergencias, protocolo, primeros auxilios
humedad, infraestructura, mantenimiento
ventilación, oficina, condiciones
cámaras, privacidad, vigilancia
metas, presión laboral, indicadores
discapacidad, accesibilidad, inclusión
seguro médico, cancelación, salud
duelo, permiso, apoyo emocional
vehículo, mantenimiento, seguridad
rumores, acoso psicológico, reputación
capacitación, desarrollo, habilidades
bono, renuncia, liquidación
confidencialidad, cláusulas, exceso
radiación, protección, salud
capacitación, cobro, reembolso
home office, flexibilidad, tecnología
cliente, conflicto, apoyo
software, licencia, legalidad
antigüedad, reconocimiento, beneficios
ascenso, horas extras, meritocracia
nepotismo, contrataciones, ética
altura, bonificación, riesgo
trámites, permisos, flexibilidad
embarazo, discriminación, contratación
zona peligrosa, reubicación, protección
reciclaje, medio ambiente, sostenibilidad
turno nocturno, bonificación, horarios
vestimenta, clima, bienestar
ruido, protección, salud ocupacional
capacitación, tareas, preparación
lactancia, maternidad, derechos
festivos, religión, compensación
enfermedad profesional, reconocimiento, salud
violencia doméstica, apoyo, protección
descuento, planilla, error, injusticia
horas extras, salario, abuso, jornada
acoso, discriminación, jefe, violencia
despido, salud, licencia, enfermedad
embarazo, discriminación, madre, derechos
boletas, salario, mensual, derechos
ESSALUD, seguro, omisión, afiliación
funciones, cambio, contrato, aviso
acoso, psicológico, hostigamiento, supervisor
feriado, trabajo, pago, compensación
vacaciones, omisión, pago, descanso
jornada, exceso, abuso, descanso
capacitación, seguridad, riesgo, accidente
contrato, informalidad, derechos, legalidad
salario, reducción, injusticia, sin aviso
privacidad, grabación, consentimiento, vigilancia
refrigerio, descanso, jornada, derechos
acoso, degradación, público, jefe
riesgo, funciones, seguridad, seguro
bono, metas, exclusión, pago
constancia, cese, documento, derechos
funciones, limpieza, contrato, abuso
turno, cambio, aviso, horario
bonificación, riesgo, minero, salario
renuncia, firma, fraude, coerción
discapacidad, señas, inclusión, comunicación
vacaciones, médico, descuento, derechos
feriado, asueto, pago, obligación
recados, personal, abuso, horario
expediente, copia, transparencia, información
baños, higiene, condiciones, salud
uniforme, cobro, reposición, ilegal
horas extras, planilla, no registrado, pago
cáncer, despido, enfermedad, discriminación
paternidad, licencia, permiso, derechos
herramientas, accidente, defectuoso, indemnización
protector solar, radiación, salud, piel
evaluación, desempeño, historial, transparencia
viáticos, viaje, gastos, no pagado
embarazo, despido, discriminación, reestructuración
lluvia, protección, clima, seguridad
boleta, electrónica, SUNAT, obligación
antigüedad, años de servicio, beneficios, reconocimiento
riesgo, tareas, no capacitado, peligro
salario, retención, error, ilegal
examen médico, ocupacional, copia, salud
gratificación, cierre, pago, beneficio
despido, licencia, accidente, ESSALUD
mascarilla, químicos, riesgo, salud
salario, desigualdad, discriminación, equidad
título técnico, categoría, salario, derechos
dominical, fin de semana, pago, obligación
comedor, cobro, alimentación, derecho
capacitación, pago, ilegal, reembolso
médula, donación, permiso, salud
huelga, despido, sindicato, represalia
prenatal, permiso, embarazo, salud
metas, renuncia, acoso, presión
bono, productividad, incumplimiento, pago
acoso sexual, despido, represalia, denuncia
inventario, firma, coerción, verificación
alergia, químicos, protección, salud
medicamentos, prohibición, receta, discriminación
vehículo, seguro, SOAT, riesgo
colecta, regalo, presión, abuso
rampas, discapacidad, inclusión, barreras
perfume, alergia, químicos, convivencia
certificados, retención, contratación, ilegal
ideas, plagio, creatividad, reconocimiento
contraseñas, correo, privacidad, TI
donación, sangre, permiso, responsabilidad social
pánico, protocolo, emergencia, psicológico
apodos, denigrante, identidad, respeto
comedor, dieta, salud, inclusión
lentes, luz, ojos, salud
firma, fraude, producción, ética
equipos, defectuoso, riesgo, mantenimiento
memes, ofensivo, redes, convivencia
terapia, psicológico, permiso, salud
luz natural, oficina, salud, bienestar
reloj, control, tiempo, fraude
ropa, marca, uniforme, discriminación
traductor, idioma, comunicación, inclusión
estacionamiento, cobro, reembolso, derecho
riesgo, informe, ocultamiento, seguridad
VIH, discriminación, viajes, salud
mochilas, revisión, seguridad, privacidad
visitas, recepción, mobiliario, atención
apps, celular, privacidad, herramientas
metas, género, discriminación, equidad
agua caliente, baño, invierno, condiciones
cámaras, vestuario, privacidad, vigilancia
facturas, médico, privacidad, ausencia
equipo, daños, desgaste, responsabilidad
voto, elecciones, permiso, derechos
discapacidad, hijo, horario, cuidado
altura, nocturno, bonificación, salario
firma, acta, fraude, reunión
epilepsia, burlas, discriminación, salud
fertilidad, tratamiento, permiso, salud
humedad, hongos, oficina, salud
descuento, error, producción, salario
lentes, sol, radiación, salud
altura, bono, montaña, salario
despido, denuncia, represalia, salud
maquinaria, certificado, riesgo, seguridad
audiometría, examen, copia, salud
ruido, decibeles, protección, salud
estacionamiento, discapacidad, cobro, discriminación
metas, edad, discriminación, equidad
feriado, religión, pago, discriminación
químicos, enfermedad, reconocimiento, salud
violencia, doméstica, protocolo, apoyo
software, pirata, legal, riesgo
hijo, cirugía, permiso, familia
turno, rotativo, bono, salario
despido, licencia, enfermedad, grave
ropa, clima, calor, salud
extranjero, salario, discriminación, equidad
VIH, tratamiento, permiso, salud
conflicto, bono, riesgo, salario
agua, desierto, salud, condiciones
baño, cobro, obra, ilegal
látex, alergia, salud, protección
depresión, despido, horario, salud
amianto, cáncer, protección, riesgo
adopción, permiso, familia, derechos
petrolera, bono, riesgo, salario
vehículo, mantenimiento, riesgo, seguridad
evaluación, firma, blanco, fraude
próstata, examen, permiso, salud
antigüedad, tercerizado, contrato, derechos
estrés, despido, licencia, represalia
keylogger, espionaje, privacidad, datos
dermatitis, crema, salud, piel
frontera, bono, riesgo, salario
supervisor, liderazgo, capacitación, trato
radiación, dosímetro, riesgo, salud
terapia, rehabilitación, permiso, salud
túnel carpiano, enfermedad, reconocimiento, salud
cáncer, mama, despido, discriminación
